t,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B
1,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025
100,0.046,0.025,0.046,0.028,0.046,0.027,0.048,0.023,0.044,0.027,0.046,0.027,0.05,0.024,0.048,0.026,0.047,0.026,0.043,0.025,0.042,0.027,0.047,0.026,0.047,0.023,0.045,0.029,0.046,0.026,0.048,0.024,0.049,0.025,0.049,0.025,0.047,0.027,0.048,0.026,0.049,0.025,0.045,0.027,0.046,0.024,0.05,0.024,0.049,0.025,0.044,0.03,0.048,0.023,0.044,0.029,0.046,0.026,0.047,0.027,0.043,0.031,0.045,0.028,0.044,0.03,0.045,0.028,0.044,0.025,0.05,0.024,0.045,0.029,0.047,0.027,0.044,0.03,0.045,0.027,0.049,0.025,0.047,0.024,0.043,0.031,0.049,0.025,0.044,0.025,0.049,0.024,0.048,0.025,0.046,0.027,0.045,0.029,0.045,0.029,0.048,0.023,0.045,0.025,0.047,0.027,0.047,0.024,0.045,0.026,0.043,0.031,0.05,0.023,0.044,0.025,0.048,0.026,0.046,0.028,0.05,0.024,0.044,0.028,0.048,0.026,0.045,0.027,0.048,0.026,0.043,0.024,0.049,0.023,0.046,0.026,0.046,0.028,0.046,0.028,0.051,0.022,0.048,0.025,0.048,0.026,0.046,0.027,0.049,0.025,0.046,0.027,0.048,0.026,0.048,0.025,0.044,0.03,0.048,0.026,0.046,0.028,0.046,0.027,0.04,0.034,0.047,0.025,0.048,0.025,0.043,0.031,0.049,0.024,0.047,0.023,0.048,0.024,0.045,0.028,0.05,0.023,0.049,0.023,0.048,0.026,0.05,0.024,0.044,0.025,0.048,0.026,0.048,0.024,0.044,0.025,0.047,0.027,0.048,0.024
200,0.043,0.03,0.042,0.029,0.041,0.032,0.047,0.027,0.045,0.029,0.047,0.027,0.05,0.024,0.048,0.026,0.042,0.031,0.042,0.032,0.043,0.031,0.048,0.026,0.044,0.029,0.042,0.031,0.046,0.028,0.041,0.033,0.046,0.028,0.047,0.027,0.047,0.027,0.048,0.025,0.048,0.025,0.043,0.031,0.045,0.029,0.046,0.028,0.049,0.025,0.044,0.03,0.046,0.026,0.042,0.032,0.046,0.028,0.041,0.033,0.042,0.032,0.043,0.03,0.042,0.032,0.047,0.027,0.042,0.032,0.049,0.025,0.046,0.028,0.046,0.027,0.044,0.03,0.042,0.031,0.051,0.023,0.042,0.032,0.043,0.031,0.047,0.027,0.042,0.03,0.048,0.026,0.043,0.031,0.046,0.027,0.039,0.035,0.045,0.029,0.044,0.023,0.043,0.031,0.043,0.031,0.047,0.027,0.042,0.029,0.04,0.034,0.05,0.023,0.046,0.028,0.048,0.026,0.046,0.027,0.05,0.024,0.046,0.028,0.045,0.029,0.039,0.033,0.047,0.026,0.041,0.033,0.044,0.029,0.043,0.029,0.045,0.028,0.043,0.031,0.05,0.022,0.047,0.027,0.047,0.026,0.043,0.028,0.047,0.027,0.046,0.028,0.045,0.029,0.048,0.023,0.042,0.032,0.046,0.028,0.043,0.029,0.044,0.027,0.035,0.034,0.045,0.025,0.04,0.025,0.041,0.033,0.049,0.025,0.046,0.027,0.049,0.025,0.041,0.028,0.047,0.027,0.045,0.029,0.047,0.027,0.05,0.023,0.042,0.032,0.047,0.027,0.044,0.03,0.043,0.031,0.04,0.028,0.047,0.027
300,0.04,0.033,0.043,0.031,0.04,0.033,0.046,0.027,0.045,0.028,0.046,0.028,0.047,0.027,0.047,0.023,0.04,0.032,0.041,0.033,0.041,0.032,0.043,0.027,0.042,0.032,0.04,0.034,0.044,0.03,0.042,0.031,0.042,0.032,0.044,0.026,0.045,0.026,0.05,0.024,0.046,0.028,0.037,0.037,0.041,0.029,0.047,0.027,0.043,0.03,0.045,0.027,0.043,0.029,0.04,0.034,0.044,0.03,0.041,0.033,0.044,0.03,0.039,0.034,0.041,0.033,0.047,0.024,0.042,0.032,0.05,0.024,0.046,0.028,0.045,0.028,0.04,0.034,0.042,0.032,0.046,0.023,0.041,0.033,0.041,0.033,0.042,0.029,0.042,0.032,0.047,0.024,0.042,0.03,0.046,0.025,0.041,0.031,0.042,0.029,0.045,0.029,0.041,0.033,0.039,0.033,0.048,0.026,0.041,0.032,0.035,0.036,0.046,0.028,0.042,0.03,0.048,0.025,0.04,0.027,0.047,0.025,0.046,0.028,0.041,0.033,0.038,0.036,0.046,0.027,0.04,0.034,0.042,0.029,0.04,0.032,0.045,0.026,0.038,0.032,0.046,0.025,0.046,0.028,0.043,0.029,0.037,0.037,0.044,0.03,0.046,0.027,0.042,0.032,0.044,0.023,0.039,0.033,0.044,0.03,0.039,0.032,0.044,0.029,0.035,0.039,0.041,0.03,0.038,0.036,0.036,0.037,0.045,0.029,0.043,0.031,0.048,0.026,0.04,0.034,0.043,0.031,0.043,0.031,0.047,0.027,0.05,0.023,0.04,0.033,0.045,0.029,0.044,0.027,0.042,0.031,0.04,0.034,0.044,0.027
400,0.037,0.037,0.041,0.033,0.038,0.036,0.04,0.027,0.043,0.029,0.043,0.031,0.046,0.028,0.045,0.027,0.041,0.033,0.041,0.032,0.043,0.031,0.04,0.03,0.041,0.033,0.04,0.033,0.041,0.033,0.041,0.032,0.039,0.035,0.04,0.033,0.04,0.026,0.045,0.029,0.045,0.028,0.037,0.036,0.039,0.034,0.047,0.027,0.042,0.032,0.041,0.027,0.037,0.031,0.037,0.036,0.044,0.03,0.036,0.037,0.042,0.032,0.038,0.035,0.037,0.037,0.047,0.027,0.04,0.033,0.047,0.026,0.045,0.028,0.043,0.031,0.044,0.03,0.038,0.036,0.046,0.027,0.039,0.035,0.039,0.035,0.04,0.034,0.042,0.032,0.042,0.032,0.044,0.03,0.044,0.03,0.04,0.031,0.044,0.03,0.044,0.03,0.042,0.032,0.037,0.036,0.045,0.026,0.04,0.034,0.034,0.04,0.05,0.024,0.038,0.034,0.042,0.025,0.039,0.033,0.045,0.027,0.048,0.026,0.039,0.035,0.038,0.036,0.041,0.027,0.039,0.034,0.043,0.029,0.036,0.034,0.043,0.031,0.035,0.039,0.046,0.028,0.042,0.031,0.042,0.032,0.034,0.04,0.043,0.029,0.042,0.032,0.039,0.032,0.037,0.036,0.039,0.035,0.044,0.03,0.036,0.036,0.043,0.031,0.033,0.041,0.04,0.034,0.034,0.039,0.036,0.038,0.042,0.032,0.041,0.032,0.047,0.026,0.036,0.037,0.038,0.035,0.039,0.035,0.046,0.028,0.05,0.021,0.042,0.032,0.045,0.029,0.046,0.028,0.039,0.031,0.037,0.037,0.041,0.031
500,0.038,0.036,0.037,0.036,0.035,0.035,0.04,0.034,0.041,0.033,0.041,0.032,0.044,0.027,0.042,0.027,0.04,0.034,0.037,0.033,0.04,0.032,0.039,0.035,0.039,0.034,0.035,0.037,0.039,0.035,0.041,0.03,0.039,0.035,0.039,0.035,0.039,0.035,0.042,0.032,0.043,0.031,0.035,0.037,0.039,0.035,0.046,0.028,0.037,0.036,0.036,0.038,0.033,0.04,0.037,0.034,0.044,0.03,0.038,0.035,0.043,0.031,0.039,0.035,0.037,0.037,0.043,0.03,0.039,0.034,0.043,0.026,0.047,0.027,0.043,0.029,0.04,0.033,0.04,0.033,0.044,0.029,0.038,0.036,0.036,0.038,0.04,0.032,0.039,0.034,0.044,0.03,0.043,0.031,0.045,0.029,0.035,0.037,0.043,0.029,0.04,0.034,0.04,0.034,0.037,0.034,0.042,0.03,0.041,0.033,0.036,0.038,0.046,0.028,0.034,0.04,0.035,0.039,0.038,0.034,0.045,0.028,0.048,0.026,0.038,0.035,0.033,0.041,0.041,0.032,0.039,0.034,0.042,0.032,0.038,0.036,0.047,0.027,0.03,0.038,0.044,0.029,0.042,0.032,0.038,0.035,0.032,0.042,0.046,0.028,0.043,0.029,0.035,0.032,0.036,0.037,0.036,0.036,0.043,0.031,0.036,0.037,0.04,0.034,0.034,0.038,0.041,0.033,0.033,0.04,0.035,0.035,0.04,0.033,0.039,0.033,0.045,0.029,0.033,0.041,0.036,0.038,0.038,0.036,0.044,0.03,0.047,0.027,0.04,0.034,0.041,0.029,0.047,0.027,0.037,0.036,0.035,0.039,0.035,0.031
600,0.038,0.035,0.037,0.035,0.034,0.035,0.04,0.034,0.036,0.036,0.042,0.032,0.047,0.026,0.04,0.034,0.047,0.027,0.037,0.036,0.039,0.032,0.041,0.033,0.038,0.032,0.037,0.037,0.036,0.035,0.047,0.027,0.042,0.031,0.041,0.032,0.04,0.034,0.042,0.032,0.039,0.031,0.037,0.037,0.037,0.036,0.044,0.028,0.036,0.036,0.028,0.046,0.033,0.04,0.043,0.031,0.044,0.03,0.038,0.036,0.041,0.033,0.04,0.034,0.035,0.035,0.04,0.033,0.038,0.035,0.04,0.034,0.045,0.028,0.037,0.034,0.041,0.033,0.038,0.036,0.038,0.029,0.038,0.035,0.032,0.038,0.04,0.034,0.035,0.034,0.04,0.031,0.036,0.038,0.044,0.03,0.035,0.039,0.041,0.033,0.036,0.038,0.042,0.032,0.039,0.035,0.041,0.033,0.039,0.034,0.036,0.038,0.045,0.029,0.034,0.035,0.034,0.04,0.04,0.034,0.044,0.03,0.044,0.026,0.036,0.036,0.031,0.04,0.039,0.034,0.043,0.031,0.036,0.032,0.035,0.039,0.041,0.027,0.031,0.042,0.043,0.031,0.041,0.033,0.038,0.036,0.033,0.041,0.046,0.027,0.044,0.029,0.036,0.037,0.029,0.037,0.035,0.039,0.042,0.032,0.037,0.036,0.037,0.037,0.041,0.033,0.04,0.034,0.034,0.04,0.041,0.033,0.039,0.034,0.039,0.033,0.045,0.029,0.03,0.042,0.032,0.041,0.038,0.035,0.047,0.027,0.047,0.027,0.035,0.039,0.039,0.033,0.047,0.027,0.038,0.035,0.036,0.037,0.033,0.04
700,0.04,0.033,0.032,0.041,0.032,0.038,0.038,0.034,0.037,0.034,0.045,0.029,0.046,0.027,0.035,0.033,0.044,0.03,0.039,0.035,0.036,0.036,0.039,0.031,0.038,0.031,0.035,0.039,0.034,0.04,0.047,0.027,0.038,0.031,0.039,0.035,0.039,0.034,0.044,0.029,0.035,0.039,0.037,0.036,0.035,0.034,0.045,0.029,0.037,0.037,0.027,0.047,0.04,0.034,0.04,0.032,0.04,0.033,0.037,0.036,0.038,0.033,0.039,0.035,0.036,0.035,0.037,0.035,0.04,0.034,0.042,0.032,0.041,0.029,0.035,0.037,0.04,0.034,0.039,0.034,0.036,0.029,0.036,0.037,0.029,0.045,0.04,0.034,0.034,0.04,0.038,0.031,0.035,0.039,0.042,0.032,0.036,0.037,0.039,0.034,0.037,0.037,0.04,0.034,0.043,0.031,0.038,0.033,0.042,0.032,0.04,0.034,0.045,0.028,0.041,0.032,0.035,0.039,0.043,0.031,0.043,0.03,0.044,0.029,0.032,0.04,0.033,0.04,0.037,0.036,0.04,0.031,0.035,0.039,0.034,0.04,0.039,0.034,0.032,0.041,0.041,0.032,0.034,0.038,0.038,0.036,0.032,0.042,0.048,0.026,0.044,0.028,0.037,0.037,0.027,0.047,0.033,0.039,0.043,0.031,0.038,0.035,0.036,0.038,0.041,0.031,0.041,0.033,0.034,0.04,0.04,0.033,0.036,0.038,0.038,0.035,0.043,0.027,0.029,0.045,0.028,0.046,0.043,0.031,0.048,0.026,0.043,0.029,0.035,0.038,0.038,0.034,0.044,0.03,0.037,0.035,0.037,0.035,0.037,0.036
800,0.038,0.036,0.034,0.04,0.036,0.038,0.037,0.035,0.033,0.039,0.044,0.03,0.042,0.03,0.033,0.039,0.04,0.033,0.038,0.035,0.034,0.038,0.039,0.028,0.036,0.038,0.032,0.041,0.04,0.034,0.043,0.027,0.034,0.038,0.034,0.039,0.038,0.035,0.043,0.031,0.038,0.036,0.038,0.036,0.033,0.041,0.044,0.029,0.037,0.037,0.025,0.049,0.038,0.036,0.044,0.029,0.035,0.038,0.037,0.035,0.035,0.039,0.038,0.036,0.04,0.033,0.04,0.034,0.034,0.04,0.036,0.037,0.037,0.034,0.033,0.041,0.039,0.035,0.037,0.036,0.032,0.042,0.03,0.039,0.027,0.047,0.04,0.034,0.034,0.039,0.037,0.036,0.036,0.037,0.038,0.035,0.036,0.038,0.04,0.034,0.034,0.039,0.036,0.037,0.037,0.035,0.037,0.037,0.041,0.033,0.039,0.035,0.043,0.029,0.035,0.039,0.035,0.038,0.044,0.03,0.04,0.034,0.043,0.031,0.035,0.038,0.035,0.037,0.037,0.033,0.035,0.038,0.033,0.038,0.034,0.039,0.041,0.033,0.033,0.041,0.042,0.032,0.036,0.037,0.037,0.037,0.031,0.041,0.046,0.028,0.048,0.026,0.039,0.035,0.029,0.045,0.034,0.039,0.042,0.031,0.039,0.035,0.037,0.037,0.038,0.036,0.04,0.032,0.033,0.039,0.04,0.033,0.036,0.036,0.036,0.038,0.04,0.027,0.026,0.046,0.031,0.043,0.042,0.031,0.046,0.027,0.047,0.027,0.035,0.036,0.038,0.036,0.042,0.032,0.04,0.034,0.038,0.036,0.039,0.034
900,0.034,0.04,0.036,0.038,0.033,0.038,0.037,0.036,0.035,0.039,0.041,0.029,0.038,0.035,0.034,0.04,0.037,0.037,0.037,0.037,0.036,0.037,0.042,0.032,0.038,0.036,0.032,0.042,0.042,0.032,0.044,0.03,0.036,0.039,0.037,0.037,0.035,0.034,0.041,0.033,0.037,0.037,0.039,0.035,0.03,0.043,0.045,0.028,0.036,0.037,0.025,0.042,0.033,0.041,0.043,0.029,0.034,0.04,0.032,0.04,0.037,0.037,0.038,0.033,0.042,0.031,0.039,0.035,0.032,0.042,0.035,0.038,0.039,0.035,0.034,0.039,0.038,0.036,0.035,0.036,0.03,0.041,0.032,0.04,0.027,0.045,0.044,0.03,0.033,0.04,0.038,0.036,0.033,0.039,0.037,0.035,0.035,0.038,0.038,0.035,0.034,0.038,0.043,0.031,0.037,0.037,0.038,0.035,0.039,0.035,0.038,0.035,0.044,0.029,0.037,0.036,0.035,0.039,0.041,0.029,0.04,0.032,0.046,0.028,0.04,0.034,0.034,0.04,0.044,0.03,0.035,0.039,0.037,0.037,0.039,0.035,0.041,0.033,0.034,0.04,0.041,0.032,0.032,0.042,0.036,0.037,0.032,0.042,0.045,0.028,0.046,0.028,0.039,0.035,0.026,0.047,0.039,0.035,0.043,0.031,0.038,0.035,0.036,0.037,0.036,0.038,0.04,0.034,0.036,0.037,0.037,0.036,0.038,0.036,0.034,0.039,0.035,0.037,0.025,0.049,0.031,0.041,0.042,0.031,0.046,0.028,0.044,0.03,0.039,0.034,0.037,0.035,0.043,0.031,0.04,0.033,0.036,0.037,0.039,0.035
